,country,year,attack type,target industry,financial loss (in million $),number of affected users,security vulnerability type,defense mechanism used,incident resolution time (in hours),data breach in gb
16412,usa,2019,ransomware,banking,47.25,451510.0,zero day,antivirus,45.0,1275.99
16413,india,2021,phishing,education,20.26,144065.0,unpatched software,firewall,62.0,3.9
16414,india,2024,ddos,telecommunications,85.02,700440.0,zero day,vpn,37.0,55.2
16415,france,2020,phishing,it,64.54,255689.0,zero day,antivirus,54.0,16.48
16416,japan,2017,phishing,it,51.41,750473.0,zero day,antivirus,41.0,55.2
16417,uk,2015,malware,it,68.8,284512.0,social engineering,antivirus,23.0,40.34
16418,japan,2021,malware,education,76.8,607544.0,weak passwords,antivirus,56.0,6.14
16419,uk,2016,ransomware,banking,92.39,61764.0,zero day,encryption,38.0,42.86
16420,usa,2023,phishing,telecommunications,51.41,489053.0,zero day,antivirus,29.0,57.52
16421,china,2020,sql injection,telecommunications,29.31,8884.0,weak passwords,antivirus,23.0,55.2
16422,germany,2017,ransomware,retail,91.67,80135.0,social engineering,antivirus,35.0,5.69
16423,uk,2022,phishing,retail,51.41,20064.0,social engineering,encryption,61.0,213.29
16424,india,2022,sql injection,telecommunications,51.41,849940.0,weak passwords,antivirus,61.0,63.25
16425,japan,2021,ransomware,government,79.25,437649.0,zero day,firewall,10.0,255.51
16426,australia,2020,sql injection,telecommunications,43.69,269137.0,unpatched software,antivirus,18.0,28.57
16427,uk,2018,malware,telecommunications,23.27,233460.0,zero day,antivirus,37.0,55.2
16428,uk,2015,sql injection,banking,6.96,474585.0,unpatched software,antivirus,34.0,8.79
16429,russia,2024,sql injection,it,41.65,674211.0,zero day,firewall,37.0,7.86
16430,brazil,2020,phishing,healthcare,18.79,267178.0,social engineering,firewall,56.0,111.8
16431,russia,2022,ddos,healthcare,51.41,104121.0,zero day,firewall,15.0,55.2
16432,uk,2020,ransomware,it,83.29,217598.0,zero day,encryption,24.0,23.4
16433,china,2024,phishing,government,65.96,44082.0,social engineering,vpn,48.0,55.2
16434,india,2018,phishing,banking,71.58,31733.0,unpatched software,encryption,49.0,5.56
16435,uk,2020,man-in-the-middle,it,34.16,346224.0,zero day,encryption,64.0,55.2
16436,australia,2015,ddos,it,61.01,419127.0,social engineering,antivirus,26.0,55.2
16437,uk,2024,phishing,education,53.59,502006.5,weak passwords,antivirus,37.0,6.22
16438,usa,2020,ddos,retail,11.79,692784.0,unpatched software,firewall,2.0,40.21
16439,usa,2020,sql injection,retail,16.98,315050.0,unpatched software,encryption,8.0,159.79
16440,india,2016,sql injection,it,51.41,502006.5,weak passwords,encryption,38.0,0.67
16441,uk,2023,man-in-the-middle,it,51.41,140061.0,weak passwords,ai based detection,37.0,404.71
16442,brazil,2021,sql injection,it,51.41,673923.0,unpatched software,antivirus,3.0,92.81
16443,uk,2020,sql injection,it,35.88,221051.0,zero day,antivirus,18.0,159.99
16444,russia,2017,phishing,banking,33.84,502006.5,unpatched software,ai based detection,7.0,55.2
16445,russia,2020,phishing,telecommunications,17.21,677688.0,zero day,antivirus,31.0,4.12
16446,russia,2017,ransomware,education,95.08,679860.0,social engineering,encryption,66.0,121.64
16447,germany,2016,phishing,retail,27.85,963983.0,zero day,antivirus,45.0,55.2
16448,uk,2020,ddos,retail,51.41,125100.0,weak passwords,vpn,61.0,55.2
16449,china,2016,ddos,it,81.31,502006.5,social engineering,antivirus,37.0,279.06
16450,china,2020,phishing,retail,34.82,500252.0,zero day,antivirus,29.0,171.25
16451,uk,2018,ddos,it,55.3,512953.0,weak passwords,firewall,57.0,974.43
16452,uk,2023,phishing,it,88.71,337377.0,social engineering,ai based detection,23.0,68.77
16453,india,2024,ddos,retail,0.6,502006.5,zero day,ai based detection,55.0,19.36
16454,usa,2023,malware,it,50.02,578310.0,weak passwords,antivirus,15.0,41.16
16455,france,2022,man-in-the-middle,telecommunications,12.96,255574.0,social engineering,antivirus,69.0,101.85
16456,uk,2023,phishing,it,43.58,169152.0,unpatched software,encryption,49.0,250.58
16457,usa,2020,phishing,it,33.22,502006.5,zero day,encryption,55.0,6.05
16458,japan,2020,phishing,retail,38.96,502006.5,zero day,antivirus,23.0,55.3
16459,uk,2020,phishing,telecommunications,30.14,742555.0,zero day,firewall,57.0,55.2
16460,russia,2020,man-in-the-middle,it,21.72,870019.0,zero day,ai based detection,37.0,38.08
16461,australia,2022,malware,it,93.2,941679.0,zero day,antivirus,43.0,55.2
16462,france,2024,ddos,retail,51.41,738419.0,zero day,antivirus,11.0,114.4
16463,brazil,2020,phishing,retail,51.41,4136.0,zero day,encryption,23.0,229.02
16464,india,2022,sql injection,education,61.41,995847.0,zero day,encryption,37.0,16.21
16465,japan,2022,ransomware,it,51.41,536995.0,weak passwords,encryption,3.0,16.31
16466,germany,2016,malware,telecommunications,51.41,57200.0,social engineering,vpn,26.0,55.2
16467,usa,2016,phishing,government,14.65,936566.0,social engineering,vpn,61.0,55.2
16468,uk,2019,ddos,healthcare,51.41,502006.5,unpatched software,vpn,9.0,36.43
16469,india,2020,malware,banking,34.51,970056.0,unpatched software,firewall,30.0,79.78
16470,brazil,2020,ransomware,it,51.41,3432.0,zero day,ai based detection,45.0,55.2
16471,brazil,2015,malware,education,37.54,49473.0,social engineering,firewall,51.0,99.89
16472,france,2019,man-in-the-middle,it,76.35,460984.0,zero day,firewall,55.0,139.47
16473,uk,2020,phishing,it,51.41,228010.0,social engineering,antivirus,37.0,313.16
16474,russia,2020,phishing,it,51.41,502006.5,unpatched software,vpn,10.0,12.85
16475,uk,2020,phishing,retail,48.24,338732.0,zero day,firewall,37.0,42.62
16476,germany,2020,ransomware,healthcare,32.0,502006.5,weak passwords,firewall,30.0,2075.84
16477,brazil,2023,ddos,it,50.34,897521.0,zero day,antivirus,19.0,48.49
16478,russia,2016,ransomware,healthcare,5.18,719532.0,zero day,vpn,10.0,291.39
16479,australia,2020,ddos,it,51.41,583925.0,zero day,encryption,37.0,231.74
16480,russia,2016,phishing,retail,70.4,480522.0,zero day,antivirus,37.0,5.95
16481,brazil,2015,sql injection,it,47.2,16957.0,zero day,firewall,37.0,86.98
16482,france,2016,ransomware,it,51.41,316228.0,unpatched software,vpn,37.0,55.2
16483,australia,2018,sql injection,banking,20.28,363414.0,unpatched software,antivirus,59.0,89.56
16484,uk,2015,man-in-the-middle,telecommunications,71.9,733671.0,zero day,vpn,20.0,17.62
16485,france,2019,sql injection,it,27.91,399457.0,weak passwords,firewall,48.0,10.22
16486,uk,2017,phishing,government,57.34,171772.0,social engineering,firewall,8.0,26.74
16487,usa,2020,phishing,government,82.4,197305.0,unpatched software,antivirus,34.0,47.15
16488,russia,2023,ransomware,healthcare,51.41,677971.0,social engineering,antivirus,37.0,55.2
16489,india,2020,man-in-the-middle,banking,55.12,502006.5,social engineering,antivirus,37.0,55.2
16490,russia,2020,ransomware,government,38.84,502006.5,unpatched software,antivirus,54.0,443.59
16491,uk,2024,malware,telecommunications,42.79,502006.5,zero day,antivirus,50.0,55.2
16492,uk,2016,ddos,it,97.83,699791.0,weak passwords,encryption,37.0,12.1
16493,germany,2020,phishing,education,10.04,679314.0,unpatched software,antivirus,39.0,55.2
16494,uk,2020,phishing,retail,96.97,466897.0,unpatched software,antivirus,58.0,74.81
16495,brazil,2024,sql injection,healthcare,41.05,502006.5,zero day,antivirus,69.0,21.14
16496,india,2019,ransomware,government,10.37,912202.0,zero day,vpn,15.0,129.78
16497,russia,2019,ddos,education,51.41,985398.0,social engineering,antivirus,37.0,160.89
16498,china,2023,sql injection,it,51.41,502006.5,zero day,antivirus,37.0,122.05
16499,usa,2021,malware,retail,72.24,472835.0,unpatched software,encryption,57.0,254.09
16500,australia,2016,ddos,healthcare,98.25,412019.0,zero day,antivirus,34.0,55.2
16501,india,2021,phishing,retail,85.69,172469.0,weak passwords,antivirus,16.0,221.24
16502,uk,2015,phishing,banking,39.12,893284.0,unpatched software,ai based detection,21.0,19.23
16503,india,2021,malware,it,82.66,586.0,zero day,vpn,23.0,13.31
16504,japan,2017,phishing,it,51.41,845169.0,social engineering,vpn,1.0,121.29
16505,germany,2018,ransomware,government,89.36,184748.0,unpatched software,firewall,4.0,338.26
16506,japan,2021,malware,healthcare,51.41,783976.0,weak passwords,firewall,37.0,113.52
16507,france,2015,phishing,it,51.41,282583.0,weak passwords,vpn,15.0,55.2
16508,germany,2020,sql injection,healthcare,96.31,502006.5,unpatched software,encryption,16.0,86.94
16509,india,2020,sql injection,government,18.44,27344.0,zero day,vpn,1.0,55.2
16510,uk,2024,ransomware,healthcare,51.41,200307.0,social engineering,antivirus,59.0,10.09
16511,uk,2018,man-in-the-middle,it,68.28,502006.5,zero day,ai based detection,10.0,8.47
16512,uk,2020,phishing,banking,95.72,502006.5,weak passwords,encryption,69.0,48.51
16513,brazil,2019,sql injection,education,96.6,975019.0,unpatched software,firewall,38.0,61.55
16514,china,2015,ddos,government,97.15,502006.5,social engineering,vpn,38.0,55.53
16515,india,2020,ransomware,government,51.41,998833.0,social engineering,firewall,21.0,150.53
16516,france,2017,man-in-the-middle,it,51.41,517640.0,unpatched software,firewall,4.0,39.52
16517,russia,2023,ddos,it,51.41,615332.0,zero day,ai based detection,65.0,127.04
16518,france,2017,sql injection,healthcare,51.41,592364.0,weak passwords,antivirus,21.0,43.95
16519,china,2020,phishing,it,33.69,502006.5,zero day,ai based detection,37.0,841.38
16520,uk,2017,man-in-the-middle,retail,17.99,506551.0,unpatched software,antivirus,53.0,61.63
16521,japan,2022,ransomware,government,86.84,502006.5,zero day,ai based detection,59.0,1828.19
16522,usa,2018,phishing,it,97.62,459039.0,weak passwords,firewall,68.0,55.2
16523,germany,2021,ransomware,it,51.41,176331.0,zero day,antivirus,37.0,55.2
16524,usa,2018,phishing,healthcare,27.37,543437.0,unpatched software,firewall,20.0,14.17
16525,germany,2022,sql injection,telecommunications,29.02,859311.0,zero day,ai based detection,47.0,6.27
16526,usa,2018,ddos,retail,90.78,877041.0,zero day,vpn,48.0,12.34
16527,france,2022,ransomware,healthcare,42.33,657939.0,social engineering,antivirus,47.0,14.59
16528,japan,2020,ddos,banking,81.89,920270.0,unpatched software,antivirus,20.0,98.71
16529,usa,2015,ransomware,it,43.81,905935.0,unpatched software,vpn,60.0,24.8
16530,australia,2019,malware,telecommunications,51.41,217863.0,zero day,vpn,31.0,55.2
16531,uk,2020,man-in-the-middle,government,54.29,930468.0,zero day,ai based detection,35.0,373.52
16532,japan,2020,phishing,healthcare,51.41,179545.0,zero day,antivirus,15.0,47.86
16533,india,2023,ransomware,it,51.41,582097.0,weak passwords,antivirus,37.0,1234.89
16534,uk,2023,sql injection,banking,48.1,360752.0,zero day,antivirus,21.0,9.36
16535,india,2020,phishing,retail,25.79,907128.0,zero day,antivirus,13.0,43.56
16536,uk,2024,phishing,banking,14.84,817793.0,social engineering,vpn,64.0,24.31
16537,china,2024,malware,healthcare,51.41,922209.0,zero day,antivirus,27.0,222.46
16538,usa,2020,ddos,retail,18.76,411707.0,social engineering,vpn,37.0,1.9
16539,india,2020,phishing,healthcare,38.19,502006.5,weak passwords,firewall,32.0,55.2
16540,india,2015,man-in-the-middle,banking,38.1,187807.0,unpatched software,vpn,37.0,46.48
16541,uk,2024,sql injection,telecommunications,51.41,502006.5,zero day,antivirus,52.0,559.51
16542,china,2024,sql injection,it,51.41,237068.0,zero day,encryption,65.0,76.61
16543,uk,2022,ransomware,government,92.07,819812.0,unpatched software,antivirus,63.0,7.19
16544,brazil,2023,sql injection,healthcare,72.9,502006.5,social engineering,firewall,72.0,55.2
16545,uk,2019,ddos,telecommunications,57.52,513601.0,unpatched software,antivirus,37.0,671.48
16546,japan,2015,malware,healthcare,51.41,502006.5,social engineering,antivirus,40.0,55.2
16548,uk,2020,phishing,telecommunications,51.41,405253.0,unpatched software,antivirus,52.0,500.73
16549,japan,2020,ddos,it,86.89,703035.0,unpatched software,firewall,15.0,248.8
16550,australia,2022,phishing,government,9.84,580402.0,social engineering,vpn,70.0,369.11
16551,france,2017,man-in-the-middle,it,51.41,640572.0,social engineering,firewall,37.0,13.13
16552,japan,2023,phishing,banking,75.13,85528.0,social engineering,antivirus,37.0,5.54
16553,uk,2020,malware,it,33.21,79940.0,zero day,firewall,64.0,66.67
16554,china,2023,sql injection,telecommunications,51.41,215401.0,social engineering,antivirus,50.0,90.26
16555,france,2018,malware,it,59.56,450313.0,zero day,ai based detection,26.0,94.34
16556,australia,2016,malware,retail,45.71,461668.0,zero day,firewall,10.0,501.34
16557,france,2021,man-in-the-middle,banking,4.94,71156.0,social engineering,encryption,34.0,4.05
16558,india,2017,phishing,government,89.47,201732.0,zero day,antivirus,39.0,198.25
16559,russia,2018,man-in-the-middle,government,45.91,322132.0,weak passwords,encryption,44.0,55.2
16560,uk,2021,phishing,it,82.85,854309.0,zero day,antivirus,16.0,197.08
16561,usa,2016,phishing,retail,89.85,998085.0,zero day,vpn,7.0,26.78
16562,uk,2018,malware,it,10.81,479628.0,zero day,vpn,13.0,16.1
16563,russia,2022,malware,it,34.32,554162.0,weak passwords,encryption,33.0,21.87
16564,usa,2022,phishing,government,92.54,502006.5,zero day,firewall,5.0,6.24
16565,uk,2016,phishing,government,62.9,502006.5,zero day,encryption,37.0,58.01
16566,uk,2018,ddos,banking,48.76,502006.5,zero day,antivirus,35.0,17.13
16567,uk,2020,malware,retail,41.11,848855.0,zero day,vpn,37.0,177.58
16568,china,2021,sql injection,it,57.2,328454.0,zero day,vpn,10.0,142.61
16569,russia,2018,ddos,education,51.41,510702.0,weak passwords,antivirus,15.0,686.93
16570,australia,2015,phishing,education,20.96,248083.0,social engineering,encryption,70.0,94.58
16571,brazil,2023,ddos,government,42.75,502006.5,zero day,vpn,24.0,119.23
16572,uk,2018,ransomware,education,82.89,502006.5,zero day,ai based detection,17.0,445.92
16573,brazil,2021,ransomware,government,21.21,570810.0,social engineering,firewall,72.0,21.3
16574,france,2020,phishing,banking,51.41,162930.0,unpatched software,firewall,37.0,55.2
16575,japan,2015,sql injection,education,61.87,502006.5,social engineering,vpn,37.0,73.71
16576,japan,2016,phishing,education,71.12,604557.0,social engineering,encryption,20.0,6.46
16577,germany,2024,man-in-the-middle,education,26.58,313397.0,zero day,antivirus,37.0,2166.59
16578,australia,2023,malware,retail,5.24,696902.0,zero day,encryption,21.0,484.56
16579,uk,2024,phishing,banking,51.41,502006.5,unpatched software,antivirus,72.0,1402.43
16580,uk,2020,phishing,healthcare,66.55,843310.0,zero day,antivirus,71.0,55.2
16581,china,2016,ddos,telecommunications,83.02,281862.0,zero day,ai based detection,4.0,124.69
16582,india,2024,ransomware,it,88.23,526308.0,zero day,antivirus,23.0,55.2
16583,russia,2018,ddos,it,5.18,826924.0,social engineering,antivirus,35.0,205.28
16584,china,2020,ddos,it,13.77,928751.0,zero day,antivirus,26.0,55.2
16585,china,2021,ransomware,it,21.9,304804.0,weak passwords,ai based detection,37.0,1.2
16586,brazil,2024,man-in-the-middle,education,34.42,502006.5,weak passwords,firewall,48.0,55.2
16587,uk,2020,ransomware,it,57.9,502006.5,weak passwords,ai based detection,28.0,6.15
16588,australia,2022,phishing,healthcare,51.41,633750.0,unpatched software,antivirus,45.0,501.14
16589,uk,2021,ransomware,healthcare,56.11,255531.0,social engineering,firewall,17.0,831.74
16590,australia,2018,ransomware,banking,50.64,874035.0,unpatched software,antivirus,38.0,6.66
16591,usa,2017,phishing,healthcare,64.99,632431.0,zero day,vpn,55.0,379.01
16592,brazil,2018,ransomware,education,51.41,939146.0,zero day,firewall,56.0,227.48
16593,uk,2022,phishing,retail,13.82,633855.0,social engineering,antivirus,37.0,55.2
16594,australia,2020,phishing,government,22.48,686176.0,zero day,firewall,37.0,30.4
16595,china,2022,malware,retail,51.41,561807.0,zero day,antivirus,17.0,22.87
16596,india,2023,sql injection,government,60.53,15768.0,zero day,vpn,66.0,167.67
16597,uk,2019,malware,it,51.41,32423.0,weak passwords,antivirus,37.0,8.64
16598,china,2020,phishing,it,97.06,329378.0,weak passwords,vpn,61.0,47.07
16599,india,2020,phishing,healthcare,64.7,541451.0,weak passwords,antivirus,17.0,19.51
16600,uk,2020,man-in-the-middle,it,51.41,502006.5,unpatched software,encryption,71.0,111.05
16601,uk,2017,phishing,it,51.41,141115.0,zero day,antivirus,9.0,55.2
16602,india,2020,man-in-the-middle,telecommunications,48.58,358210.0,zero day,ai based detection,37.0,24.46
16603,japan,2023,man-in-the-middle,education,16.42,60322.0,zero day,vpn,22.0,39.65
16604,uk,2019,ransomware,government,15.42,555153.0,zero day,antivirus,11.0,1157.55
16605,india,2020,sql injection,healthcare,47.15,502006.5,social engineering,firewall,18.0,29.21
16606,russia,2019,phishing,it,51.41,633511.0,zero day,vpn,58.0,11.46
16607,uk,2015,phishing,banking,51.41,976213.0,social engineering,antivirus,28.0,130.99
16608,brazil,2020,ddos,telecommunications,51.41,838739.0,social engineering,vpn,21.0,44.02
16609,china,2023,ransomware,it,23.18,502006.5,weak passwords,encryption,17.0,6.53
16610,china,2018,ransomware,education,51.41,598614.0,social engineering,vpn,37.0,1551.91
16611,france,2022,phishing,it,22.72,629571.0,unpatched software,vpn,41.0,32.18
16612,japan,2021,man-in-the-middle,education,69.99,834355.0,unpatched software,antivirus,37.0,30.98
16613,usa,2020,phishing,it,87.88,731495.0,unpatched software,antivirus,37.0,55.2
16614,uk,2020,phishing,it,69.91,354637.0,social engineering,vpn,63.0,55.2
16615,usa,2020,ransomware,it,27.45,60428.0,weak passwords,antivirus,27.0,4.39
16616,china,2024,ddos,it,13.17,502006.5,unpatched software,antivirus,11.0,82.6
16617,brazil,2020,phishing,retail,50.99,826159.0,weak passwords,vpn,37.0,1250.01
16618,france,2020,sql injection,healthcare,66.92,234301.0,zero day,antivirus,32.0,66.23
16619,uk,2020,phishing,healthcare,51.41,551014.0,social engineering,firewall,71.0,8.56
16620,brazil,2017,sql injection,telecommunications,4.35,809757.0,zero day,vpn,61.0,55.2
